airport_id,airport_name,state,count,latitude,longitude
KDEN,DENVER INTL AIRPORT,CO,4785,39.85841,-104.667
KDFW,DALLAS/FORT WORTH INTL ARPT,TX,4165,32.89595,-97.0372
KMEM,MEMPHIS INTL,TN,3977,35.04242,-89.97667
KORD,CHICAGO O'HARE INTL ARPT,IL,3746,41.9796,-87.90446
KSMF,SACRAMENTO INTL,CA,3407,38.69542,-121.59077
KMCO,ORLANDO INTL,FL,2874,28.42889,-81.31603
KJFK,JOHN F KENNEDY INTL,NY,2771,40.63975,-73.77893
KSDF,MUHAMMAD ALI INTERNATIONAL,KY,2672,38.17439,-85.736
KCLT,CHARLOTTE/DOUGLAS INTL ARPT,NC,2627,35.21401,-80.94313
KPHL,PHILADELPHIA INTL,PA,2521,39.87195,-75.24114
KLGA,LA GUARDIA ARPT,NY,2349,40.77724,-73.87261
KSLC,SALT LAKE CITY INTL,UT,2334,40.78839,-111.97777
KEWR,NEWARK LIBERTY INTL ARPT,NJ,2214,40.6925,-74.16866
KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,GA,2161,33.64044,-84.42694
KBNA,NASHVILLE INTL,TN,2091,36.12448,-86.67818
KLAX,LOS ANGELES INTL,CA,1968,33.94254,-118.40807
KIAD,WASHINGTON DULLES INTL ARPT,DC,1962,38.94453,-77.45581
KSFO,SAN FRANCISCO INTL ARPT,CA,1949,37.619,-122.37484
KIAH,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,TX,1939,29.98047,-95.33972
KMCI,KANSAS CITY INTL,MO,1938,39.29761,-94.71391
KBWI,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,1926,39.1754,-76.6682
KAUS,AUSTIN-BERGSTROM INTL,TX,1866,30.19453,-97.66987
KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,MA,1839,42.36435,-71.00518
KDTW,DETROIT METRO WAYNE COUNTY ARPT,MI,1753,42.21206,-83.34884
KSTL,LAMBERT-ST LOUIS INTL,MO,1636,38.74769,-90.35999
KPDX,PORTLAND INTL (OR),OR,1631,45.58872,-122.5975
KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,DC,1578,38.85208,-77.03772
KIND,INDIANAPOLIS INTL ARPT,IN,1515,39.71733,-86.29438
KSAT,SAN ANTONIO INTL,TX,1497,29.53369,-98.46978
KMSP,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,MN,1467,44.88055,-93.21692
KCVG,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,KY,1434,39.04614,-84.66217
KMIA,MIAMI INTL,FL,1422,25.79325,-80.29056
KMSY,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,LA,1400,29.99339,-90.25803
KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,FL,1383,26.07258,-80.15275
KSEA,SEATTLE-TACOMA INTL,WA,1371,47.44898,-122.30931
KHOU,WILLIAM P HOBBY ARPT,TX,1340,29.64542,-95.27889
KOMA,EPPLEY AIRFIELD,NE,1316,41.30252,-95.89417
KOAK,METRO OAKLAND INTL,CA,1311,37.72129,-122.22072
KPIT,PITTSBURGH INTL ARPT,PA,1281,40.49147,-80.23287
KDAL,DALLAS LOVE FIELD ARPT,TX,1261,32.84711,-96.85177
KCLE,CLEVELAND-HOPKINS INTL ARPT,OH,1254,41.41089,-81.8494
KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,CA,1231,37.36186,-121.92901
KMDW,CHICAGO MIDWAY INTL ARPT,IL,1190,41.78598,-87.75242
KCMH,JOHN GLENN COLUMBUS INTL ARPT,OH,1162,39.9969472,-82.8921611
KRSW,SOUTHWEST FLORIDA INTL ARPT,FL,1070,26.53617,-81.75517
KTPA,TAMPA INTL,FL,1067,27.97547,-82.53325
KPHX,PHOENIX SKY HARBOR INTL ARPT,AZ,1035,33.43417,-112.00806
KRDU,RALEIGH-DURHAM INTL,NC,992,35.87764,-78.78747
KJAX,JACKSONVILLE INTL,FL,953,30.49406,-81.68786
KMDT,HARRISBURG INTL,PA,917,40.1935,-76.7634
